CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ADN,APC,ASIP,CTC,CAMPO,C-A,CREEMOS,DECIDE,UN,FPV,FE,GH,MATICO,MAS-IPSP,DEMOCRATAS,MNR,MSP,MTS,NEGROS,NED,PAN-BOL,PACHO,PC,SPT,SOL,SAN JUAN XXI,SCB,TPP,T.P.R.,UCS,UNIDOS,UNIR.BO,VPT,VOCES,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
7000222,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,14,220,0,0,1,0,0,0,135,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,173,1,4,178,173,178
7000232,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,15,102,0,0,0,0,0,0,65,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,78,0,1,79,78,79
7000452,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1007,Col. Hnas. Arredondo (Col. Jesus Peredo),9,220,0,0,2,0,0,0,118,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,178,2,7,187,178,187
7000462,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1007,Col. Hnas. Arredondo (Col. Jesus Peredo),10,220,0,0,3,0,0,0,130,0,0,0,0,0,0,39,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,182,2,2,186,182,186
7000472,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1007,Col. Hnas. Arredondo (Col. Jesus Peredo),11,220,0,0,1,0,0,0,144,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,192,2,3,197,192,197
7000492,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1007,Col. Hnas. Arredondo (Col. Jesus Peredo),13,220,0,0,3,0,0,0,143,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,183,2,2,187,183,187
7000722,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1006,Col. San Martin De Porres,14,220,0,0,0,0,0,0,83,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,185,2,6,193,185,193
7000802,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1006,Col. San Martin De Porres,22,220,0,0,2,0,0,0,149,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,189,1,5,195,189,195
7000832,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1006,Col. San Martin De Porres,25,220,0,0,2,0,0,0,148,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,179,4,2,185,179,185
7000852,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1006,Col. San Martin De Porres,27,220,0,0,2,0,0,0,132,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,188,3,1,192,188,192
7001002,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1002,Esc. Rene Barrientos,9,220,0,0,0,0,0,0,105,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,169,5,5,179,169,179
7001032,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1002,Esc. Rene Barrientos,12,220,0,0,1,0,0,0,133,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,168,0,2,170,168,170
7001132,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1004,Col. Mirette Sciaroni,5,220,0,0,0,0,0,0,156,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,172,0,5,177,172,177
7001142,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1004,Col. Mirette Sciaroni,6,220,0,0,0,0,0,0,168,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,187,3,9,199,187,199
7001202,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1004,Col. Mirette Sciaroni,12,151,0,0,0,0,0,0,90,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,111,0,4,115,111,115
7001222,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),2,220,0,0,1,0,0,0,159,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,177,0,5,182,177,182
7001262,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),6,220,0,0,1,0,0,0,162,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,188,1,0,189,188,189
7001272,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),7,220,0,0,1,0,0,0,162,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,184,0,3,187,184,187
7001282,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),8,220,0,0,1,0,0,0,158,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,184,2,2,188,184,188
7001292,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),9,220,0,0,0,0,0,0,168,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,182,1,1,184,182,184
7001302,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),10,129,0,0,0,0,0,0,93,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,104,2,2,108,104,108
7001382,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1000,Col. La Madre,8,220,0,0,1,0,0,0,115,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,175,1,10,186,175,186
7001632,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1010,Gladys Rivero De Jimenez,9,220,0,0,4,0,0,0,124,0,0,0,0,0,0,51,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,186,0,2,188,186,188
7001962,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1003,Modulo Educativo Jose Miguel De Velasco,9,220,0,0,0,0,0,0,152,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,184,1,4,189,184,189
7002022,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1003,Modulo Educativo Jose Miguel De Velasco,15,220,0,0,1,0,0,0,118,0,0,0,0,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,177,1,4,182,177,182
7002102,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1012,Escuela San Carlos,1,220,0,0,1,0,0,0,139,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,169,3,1,173,169,173
7002132,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1012,Escuela San Carlos,4,220,0,0,3,0,0,0,134,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,167,2,2,171,167,171
