CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ADN,APC,ASIP,CTC,CAMPO,C-A,CREEMOS,DECIDE,UN,FPV,FE,GH,MATICO,MAS-IPSP,DEMOCRATAS,MNR,MSP,MTS,NEGROS,NED,PAN-BOL,PACHO,PC,SPT,SOL,SAN JUAN XXI,SCB,TPP,T.P.R.,UCS,UNIDOS,UNIR.BO,VPT,VOCES,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
7000032,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1016,U.E. Walter Suarez,3,220,0,0,1,0,0,0,125,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,171,3,3,177,171,177
7000092,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,1,220,0,0,1,0,0,0,130,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,166,2,4,172,166,172
7000102,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,2,220,0,0,2,0,0,0,129,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,154,3,0,157,154,157
7000112,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,3,220,0,0,0,0,0,0,134,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,168,1,3,172,168,172
7000132,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,5,220,0,0,3,0,0,0,133,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,158,0,1,159,158,159
7000142,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,6,220,0,0,2,0,0,0,137,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,160,2,6,168,160,168
7000152,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,7,220,0,0,2,0,0,0,131,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,169,4,4,177,169,177
7000162,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,8,220,0,0,1,0,0,0,132,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,165,3,1,169,165,169
7000182,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,10,220,0,0,1,0,0,0,129,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,163,1,1,165,163,165
7000192,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,11,220,0,0,2,0,0,0,150,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,177,1,3,181,177,181
7000202,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,12,220,0,0,1,0,0,0,143,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,168,0,2,170,168,170
7000222,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,14,220,0,0,1,0,0,0,135,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,173,1,4,178,173,178
7000232,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1001,Campus Universitario,15,102,0,0,0,0,0,0,65,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,78,0,1,79,78,79
7000252,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1009,Colegio Castulo Chavez,2,220,0,0,2,0,0,0,135,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,165,0,0,165,165,165
7000292,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1009,Colegio Castulo Chavez,6,220,0,0,1,0,0,0,135,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,165,2,5,172,165,172
7000302,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1009,Colegio Castulo Chavez,7,220,0,0,0,0,0,0,126,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,157,2,4,163,157,163
7000312,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1009,Colegio Castulo Chavez,8,220,0,0,1,0,0,0,154,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,182,2,1,185,182,185
7000332,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1009,Colegio Castulo Chavez,10,220,0,0,1,0,0,0,143,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,170,0,4,174,170,174
7000352,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1009,Colegio Castulo Chavez,12,220,0,0,1,0,0,0,128,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,167,1,2,170,167,170
7000372,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1007,Col. Hnas. Arredondo (Col. Jesus Peredo),1,220,0,0,2,0,0,0,132,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,187,2,4,193,187,193
7000382,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1007,Col. Hnas. Arredondo (Col. Jesus Peredo),2,220,0,0,2,0,0,0,123,0,0,0,0,0,0,38,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,176,2,2,180,176,180
