CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ARI,C-A,FPV,SUMATE,JESUCA,MAS-IPSP,MTS,PARCA,PAN-BOL,PDC,PPS,SOMOS,UCS,UNE,UNPA,UPC,UNIDOS.CBBA,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
3000852,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26439,U. E. Adventista Cochabamba,5,220,0,7,0,101,0,25,17,0,3,1,0,0,0,0,0,0,10,164,1,4,169,164,169
3000862,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26439,U. E. Adventista Cochabamba,6,220,0,6,0,103,0,25,15,0,1,0,0,0,0,0,0,0,16,166,4,3,173,166,173
3001022,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,1,220,0,7,0,94,0,21,23,0,0,2,0,2,0,0,0,0,25,174,2,2,178,174,178
3001032,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,2,220,0,9,0,90,0,24,37,0,0,1,0,0,0,0,0,0,10,171,0,3,174,171,174
3001062,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,5,220,0,4,0,82,0,23,28,0,0,2,0,2,0,0,0,0,12,153,3,11,167,153,167
3001082,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,7,220,0,6,0,90,0,18,23,0,0,0,0,1,0,0,0,0,24,162,0,5,167,162,167
3001092,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,8,220,0,4,0,99,0,22,23,0,0,1,0,1,0,0,0,0,14,164,5,1,170,164,170
3001112,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,10,220,0,6,0,96,0,21,21,0,0,2,0,1,0,0,0,0,19,166,9,2,177,166,177
3001122,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,11,220,0,1,0,101,0,28,24,0,0,0,0,2,0,0,0,0,13,169,4,3,176,169,176
3001142,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,13,220,0,8,0,80,0,25,24,0,1,2,0,2,0,0,0,0,21,163,3,2,168,163,168
3001172,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26446,Colegio Evangelico Emanuel,1,83,0,3,0,51,0,12,4,0,0,0,0,0,0,0,0,0,6,76,2,0,78,76,78
3001612,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26448,Universidad Latinoamericana,1,48,0,3,0,22,0,11,2,0,0,0,0,1,0,0,0,0,1,40,0,5,45,40,45
3001722,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,142,Colegio Abaroa,11,220,0,1,0,115,0,25,16,0,1,1,0,0,0,0,0,0,15,174,3,5,182,174,182
3003502,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26443,Centro de Educación Alternativa Don Bosco C,1,25,0,0,1,13,0,6,2,0,0,0,0,0,0,0,0,0,1,23,1,0,24,23,24
