CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ARI,C-A,FPV,SUMATE,JESUCA,MAS-IPSP,MTS,PARCA,PAN-BOL,PDC,PPS,SOMOS,UCS,UNE,UNPA,UPC,UNIDOS.CBBA,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
3001032,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,2,220,0,9,0,90,0,24,37,0,0,1,0,0,0,0,0,0,10,171,0,3,174,171,174
3001082,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,7,220,0,6,0,90,0,18,23,0,0,0,0,1,0,0,0,0,24,162,0,5,167,162,167
3001122,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,11,220,0,1,0,101,0,28,24,0,0,0,0,2,0,0,0,0,13,169,4,3,176,169,176
3001172,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26446,Colegio Evangelico Emanuel,1,83,0,3,0,51,0,12,4,0,0,0,0,0,0,0,0,0,6,76,2,0,78,76,78
3001612,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26448,Universidad Latinoamericana,1,48,0,3,0,22,0,11,2,0,0,0,0,1,0,0,0,0,1,40,0,5,45,40,45
3001722,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,142,Colegio Abaroa,11,220,0,1,0,115,0,25,16,0,1,1,0,0,0,0,0,0,15,174,3,5,182,174,182
3004352,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,25867,U. E. Isaac Attie,3,53,0,0,0,30,0,10,5,0,0,0,0,1,0,0,0,0,0,46,0,0,46,46,46
3005722,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,25892,U. E. Bolivia Japón Tarde,1,220,0,4,2,73,0,71,12,0,4,1,0,4,0,0,0,0,2,173,14,3,190,173,190
3005732,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,25892,U. E. Bolivia Japón Tarde,2,196,0,3,0,73,0,55,15,0,0,4,0,1,0,0,0,0,3,154,7,3,164,154,164
3006162,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26449,Kinder San Joaquín,1,39,0,0,0,22,0,4,3,0,0,0,0,0,0,0,0,0,2,31,4,0,35,31,35
3008082,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,25878,U. E. Vikinga Boliviana,1,162,0,2,0,43,0,58,9,0,0,0,0,0,0,0,0,0,0,112,8,5,125,112,125
3009592,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,232,Unidad Educativa Facundo Quiroga,1,220,0,4,0,109,0,38,18,0,0,1,0,0,0,0,0,0,13,183,4,1,188,183,188
3009602,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,232,Unidad Educativa Facundo Quiroga,2,220,0,9,0,119,0,32,17,0,0,3,0,1,0,0,0,0,11,192,3,9,204,192,204
3009632,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,232,Unidad Educativa Facundo Quiroga,5,220,0,5,0,119,0,36,19,0,1,1,0,2,0,0,0,0,7,190,1,6,197,190,197
