CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,BSTH,CZM - APG,CST,C-A,UN,FPV,MAS-IPSP,MIM,MNR,MTS,PAN-BOL,R-2025,SOMHOS,T.P.C.,UNIR-VILLA VACA GUZMAN,UNIDOS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
1000352,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1,220,16,0,103,7,0,0,28,0,0,0,0,0,0,0,0,14,168,3,12,183,168,183
1000372,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,3,220,14,0,95,10,0,0,27,0,1,0,0,0,0,0,0,13,160,5,13,178,160,178
1000392,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,5,233,17,0,110,13,0,0,21,0,0,0,0,0,0,0,0,16,177,5,14,196,177,196
1000402,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1,220,17,0,101,12,0,0,33,0,2,0,0,0,0,0,0,21,186,3,6,195,186,195
1000422,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,3,220,20,0,82,11,0,0,44,0,1,0,0,0,0,0,0,17,175,6,9,190,175,190
1000452,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,6,220,22,0,91,7,0,0,34,0,1,0,0,0,0,0,0,19,174,5,9,188,174,188
1000462,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,7,123,11,0,63,6,0,0,13,0,0,0,0,0,0,0,0,7,100,3,2,105,100,105
1000522,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,231,U.Pedag. Mariscal Sucre,6,220,13,0,92,7,0,0,28,0,0,0,0,0,0,0,0,11,151,5,15,171,151,171
1000542,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,231,U.Pedag. Mariscal Sucre,8,53,1,0,23,2,0,0,8,0,0,0,0,0,0,0,0,4,38,1,0,39,38,39
1000752,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,522,Col. Bernardo Monteagudo,1,220,10,0,87,12,0,0,37,0,3,0,0,0,0,0,0,15,164,5,6,175,164,175
1000772,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,522,Col. Bernardo Monteagudo,3,220,18,0,95,8,0,0,27,0,0,0,0,0,0,0,0,15,163,5,6,174,163,174
1000822,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,523,Coliseo Jorge Revilla Aldana,2,220,14,0,104,13,0,0,31,0,1,0,0,0,0,0,0,8,171,6,9,186,171,186
