CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ADN,A.A.O.Q,AS,AINI,C-A,CAOCH,C.G.J.A.P.,CONACH-W,FPV,JAY,MAS-IPSP,MCP,DEMOCRATAS,MOP,MTS,PAN-BOL,PSR,PU,UCS,PUKA SUNQU,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
5000022,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,2,220,0,0,13,0,2,0,0,0,1,0,38,0,10,21,0,71,0,0,0,10,166,8,16,190,166,190
5000492,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,1,220,0,0,32,0,3,0,0,0,1,0,47,0,9,13,3,43,0,0,0,19,170,12,8,190,170,190
5000512,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,3,220,0,0,34,0,2,0,0,0,1,0,51,0,10,8,1,47,0,0,0,9,163,15,16,194,163,194
5000552,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,7,45,0,0,6,0,0,0,0,0,0,0,9,0,1,0,0,9,0,0,0,3,28,6,5,39,28,39
5000722,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",8,220,0,0,24,0,2,0,0,0,0,0,44,0,3,17,7,57,0,0,0,21,175,16,9,200,175,200
5000772,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",13,220,0,0,30,0,0,0,0,0,1,0,42,0,3,12,3,65,0,0,0,8,164,12,20,196,164,196
5000892,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25037,Esc. Jose Maria Linares,7,220,0,0,15,0,5,0,0,0,0,0,28,0,3,21,0,85,0,0,0,11,168,11,18,197,168,197
5000912,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25037,Esc. Jose Maria Linares,9,220,0,0,15,0,2,0,0,0,1,0,25,0,8,16,3,95,0,0,0,5,170,14,8,192,170,192
5000932,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25037,Esc. Jose Maria Linares,11,220,0,0,33,0,1,0,0,0,0,0,28,0,5,12,1,75,0,0,0,5,160,13,14,187,160,187
5000942,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25037,Esc. Jose Maria Linares,12,35,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,0,1,24,4,1,29,24,29
5001012,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25052,U.E. 1º de Mayo San Idelfonso,1,35,0,0,13,0,1,0,0,0,0,0,7,0,2,0,1,4,0,0,0,0,28,2,4,34,28,34
5001022,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,1,220,0,0,19,0,3,0,0,0,0,0,33,0,9,13,2,69,0,0,0,12,160,15,8,183,160,183
5001032,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,2,220,0,0,20,0,2,0,0,0,0,0,26,0,4,20,1,91,0,0,0,10,174,10,12,196,174,196
5001062,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5,220,0,0,19,0,4,0,0,0,2,0,32,0,3,12,1,77,0,0,0,10,160,12,19,191,160,191
5001072,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,6,220,0,0,20,0,2,0,0,0,1,0,20,0,8,19,0,99,0,0,0,6,175,10,14,199,175,199
