CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,BASTA,COMUNIDAD DE TODOS,FPV,UNIDOS POR TARIJA,ISA,MT,MI ARBOL,MAS-IPSP,MTS,PAN-BOL,TPT,UCS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
6000942,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,10,220,0,74,0,67,7,0,0,20,2,0,1,0,171,3,6,180,171,180
6000952,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,11,92,0,27,0,25,1,0,0,15,0,0,1,0,69,0,2,71,69,71
6001802,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31051,Mercado La Loma (Temporal),2,223,0,43,0,78,13,0,0,47,0,0,1,0,182,1,6,189,182,189
6001812,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),1,220,0,28,1,81,6,0,0,63,0,0,3,0,182,1,5,188,182,188
6001822,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),2,220,0,26,2,98,7,0,0,49,2,0,1,0,185,3,3,191,185,191
6001832,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),3,220,0,37,1,87,2,0,0,43,4,0,2,0,176,3,7,186,176,186
6001862,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),6,195,0,42,0,62,2,0,0,52,0,0,2,0,160,1,6,167,160,167
6002642,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,100,C.E.B.A.,4,220,0,18,0,72,4,0,0,75,1,0,0,0,170,4,6,180,170,180
6002752,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31053,Coliseo 15 de noviembre (Temporal),2,220,0,22,0,63,2,0,0,84,2,0,0,0,173,7,8,188,173,188
6002772,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31053,Coliseo 15 de noviembre (Temporal),4,220,0,16,1,76,7,0,0,74,1,0,4,0,179,2,5,186,179,186
6003712,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31055,Coliseo San Roque (Temporal),9,220,0,37,1,96,4,0,0,42,3,0,0,0,183,3,6,192,183,192
6003722,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31055,Coliseo San Roque (Temporal),10,220,0,38,0,74,8,0,0,56,3,0,3,0,182,3,5,190,182,190
6003742,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31055,Coliseo San Roque (Temporal),12,220,0,27,1,86,2,0,0,51,3,0,1,0,171,3,4,178,171,178
6003772,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31055,Coliseo San Roque (Temporal),15,220,0,36,2,91,6,0,0,47,3,0,1,0,186,2,9,197,186,197
6004392,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,26477,U.E. Los Laureles,1,232,0,19,1,75,5,0,0,106,3,0,1,0,210,4,4,218,210,218
6004402,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,1,220,0,36,2,84,5,0,0,46,1,0,2,0,176,2,10,188,176,188
6004412,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,2,220,0,49,3,86,3,0,0,41,1,0,2,0,185,2,2,189,185,189
6004422,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,3,220,0,54,0,81,5,0,0,46,0,0,1,0,187,3,6,196,187,196
